date,ext,detection,detection_name,engine_ver,elapsed_time,file_path,sha256,vt_positives,vt_total,vt_keyword
2022-05-29,EXE,Benign,,,0.0,1f9df9c77d848763463259351a801f7cd187a09e0d67509cc2c7f4cfe6fcca9d.exe,1f9df9c77d848763463259351a801f7cd187a09e0d67509cc2c7f4cfe6fcca9d,22,69,generic malicious malware trojan msil
2022-05-29,ELF,Benign,,,0.0,21a65c7320bb7fb4936aaeff6212378b5db9aefc67ddbddc47e77cb7fdce6796.elf,21a65c7320bb7fb4936aaeff6212378b5db9aefc67ddbddc47e77cb7fdce6796,4,59,linux gafgyt trojan a variant
2022-05-29,EXE,Benign,,,0.0,2224910c2555982047835d3a2cf7666c0e11d02f9bb20f2ba4cd87696c2f09a4.exe,2224910c2555982047835d3a2cf7666c0e11d02f9bb20f2ba4cd87696c2f09a4,34,69,gen variant malicious msilheracles 38846
2022-05-29,ELF,Benign,,,0.0,24152b717aafa746eae00337a93939005264ddc2e7e286a5685e8edec9393737.elf,24152b717aafa746eae00337a93939005264ddc2e7e286a5685e8edec9393737,34,59,linux mirai trojan 1 backdoor
2022-05-29,EXE,Benign,,,0.0,27af39fa2035877bc021012eaa968d998101afd2fc7a421c6270f2635eec41e2.exe,27af39fa2035877bc021012eaa968d998101afd2fc7a421c6270f2635eec41e2,35,68,win32 trojan gen malicious agent
2022-05-29,EXE,Benign,,,0.0,29aecf60d2b78688a409dd254eba6414e13fded9ebca1ac8beb624e252ae2f0c.exe,29aecf60d2b78688a409dd254eba6414e13fded9ebca1ac8beb624e252ae2f0c,34,68,trojan gen malicious variant jaik
2022-05-29,ELF,Benign,,,0.0,2cd406aa9062c0f872bf0ff0320d3fd6fb24321bbd9b1f96f874afcedc857591.elf,2cd406aa9062c0f872bf0ff0320d3fd6fb24321bbd9b1f96f874afcedc857591,15,60,linux mirai backdoor a trojan
2022-05-29,ELF,Benign,,,0.0,32f60200beb19fa35b2676c25b7bc15caa9ec700aed28bbec0c115728643de74.elf,32f60200beb19fa35b2676c25b7bc15caa9ec700aed28bbec0c115728643de74,32,61,linux trojan mirai gen variant
2022-05-29,ELF,Benign,,,0.0,36d4a0b7367fef247ecbb7fe709e9c94128a7f142a825d2c17fb680cde40dd7e.elf,36d4a0b7367fef247ecbb7fe709e9c94128a7f142a825d2c17fb680cde40dd7e,33,60,linux mirai trojan 1 backdoor
2022-05-29,EXE,Benign,,,0.0,3a82105527a23a7ac48f854d245d58d8d34cdb0e118639eedbc7a76034ead35f.exe,3a82105527a23a7ac48f854d245d58d8d34cdb0e118639eedbc7a76034ead35f,48,70,trojan win32 gen variant malicious
